"nct_id","alias"
"NCT00074425","NCT00197665"
"NCT00074490","NCT00077480"
"NCT00074607","NCT00039143"
"NCT00074607","NCT00048243"
"NCT00074607","NCT00052806"
"NCT00075088","NCT00305318"
"NCT00075218","NCT00085618"
"NCT00075270","NCT00085046"
"NCT00075803","NCT00322088"
"NCT00075816","NCT00321776"
"NCT00075816","NCT00473395"
"NCT00075829","NCT00321607"
"NCT00075829","NCT00386568"
"NCT00076011","NCT00077272"
"NCT00076102","NCT00078936"
"NCT00076180","NCT00079196"
"NCT00076232","NCT00068965"
"NCT00076752","NCT00726518"
"NCT00076960","NCT01183988"
"NCT00076986","NCT00090948"
"NCT00077454","NCT00089934"
"NCT00077493","NCT00075309"
"NCT00077532","NCT00076167"
"NCT00077584","NCT02800993"
"NCT00077857","NCT00083200"
"NCT00077922","NCT00080821"
"NCT00077974","NCT00082849"
"NCT00077987","NCT00082771"
"NCT00078000","NCT00095615"
"NCT00078468","NCT00085592"
"NCT00078494","NCT00112541"
"NCT00078546","NCT00608257"
"NCT00078559","NCT00585130"
"NCT00078572","NCT00086814"
"NCT00078585","NCT00081120"
"NCT00078793","NCT00016575"
"NCT00078806","NCT00039949"
"NCT00078949","NCT00089817"
"NCT00079001","NCT00698308"
"NCT00079144","NCT00076661"
"NCT00079170","NCT00076193"
"NCT00079274","NCT00170092"
"NCT00079300","NCT00045851"
"NCT00079313","NCT00076297"
"NCT00079391","NCT00076778"
"NCT00079482","NCT00483340"
"NCT00079612","NCT00044499"
"NCT00079625","NCT00082953"
"NCT00079755","NCT00107133"
"NCT00080158","NCT00183534"
"NCT00080353","NCT00084500"
"NCT00080535","NCT00085085"
"NCT00080860","NCT00076895"
"NCT00080873","NCT00228800"
"NCT00080912","NCT00797173"
"NCT00080990","NCT01645501"
"NCT00080990","NCT01664299"
"NCT00081354","NCT00899106"
"NCT00081510","NCT00098904"
"NCT00081588","NCT00980226"
"NCT00081614","NCT00091221"
"NCT00081796","NCT00107406"
"NCT00081848","NCT00085241"
"NCT00082017","NCT00085319"
"NCT00082147","NCT00085514"
"NCT00082368","NCT00086853"
"NCT00082420","NCT00072696"
"NCT00082485","NCT00431938"
"NCT00082745","NCT00228787"
"NCT00082914","NCT00078702"
"NCT00083005","NCT00078650"
"NCT00083057","NCT00080249"
"NCT00083083","NCT00194389"
"NCT00083174","NCT00304486"
"NCT00083447","NCT00087230"
"NCT00083512","NCT00087308"
"NCT00083616","NCT00087243"
"NCT00083733","NCT00899938"
"NCT00083889","NCT00098657"
"NCT00084123","NCT00065091"
"NCT00084318","NCT00414674"
"NCT00085111","NCT00080561"
"NCT00085150","NCT00082004"
"NCT00085423","NCT00225771"
"NCT00085462","NCT00082264"
"NCT00085540","NCT00103909"
"NCT00085800","NCT00294138"
"NCT00085826","NCT00021411"
"NCT00085826","NCT00036322"
"NCT00085930","NCT00609206"
"NCT00086216","NCT00301977"
"NCT00086216","NCT00491972"
"NCT00086268","NCT00093717"
"NCT00086567","NCT00119353"
"NCT00086658","NCT00081445"
"NCT00086684","NCT00399139"
"NCT00087022","NCT00209183"
"NCT00087698","NCT00072397"
"NCT00088166","NCT00091013"
"NCT00088374","NCT00089375"
"NCT00088413","NCT00091000"
"NCT00088530","NCT00101049"
"NCT00088868","NCT00086008"
"NCT00088907","NCT00695760"
"NCT00089349","NCT00229606"
"NCT00089401","NCT00086697"
"NCT00089427","NCT00105014"
"NCT00089596","NCT00301704"
"NCT00089609","NCT00091364"
"NCT00089635","NCT00112944"
"NCT00089778","NCT00091403"
"NCT00090363","NCT00107146"
"NCT00090545","NCT00093431"
"NCT00090857","NCT00165529"
"NCT00090857","NCT00577551"
"NCT00091039","NCT00088725"
"NCT00091104","NCT00088439"
"NCT00091195","NCT01645670"
"NCT00091195","NCT01660282"
"NCT00091338","NCT00088322"
"NCT00091442","NCT00343538"
"NCT00091572","NCT00101218"
"NCT00091611","NCT00093574"
"NCT00091676","NCT00001945"
"NCT00091676","NCT00019981"
"NCT00091676","NCT00096577"
"NCT00091858","NCT00098696"
"NCT00092222","NCT00099073"
"NCT00092235","NCT00331968"
"NCT00092950","NCT00095849"
"NCT00093145","NCT00085605"
"NCT00093444","NCT00090805"
"NCT00093496","NCT01646918"
"NCT00093496","NCT01664312"
"NCT00093795","NCT00191958"
"NCT00093964","NCT00103064"
"NCT00093964","NCT00119288"
"NCT00094133","NCT00324337"
"NCT00094497","NCT00924144"
"NCT00094809","NCT00119327"
"NCT00094835","NCT00107224"
"NCT00094887","NCT00652535"
"NCT00094978","NCT00098644"
"NCT00095186","NCT00099034"
"NCT00095225","NCT00098410"
"NCT00095381","NCT00086788"
"NCT00095459","NCT00098592"
"NCT00095576","NCT00770549"
"NCT00095589","NCT00185627"
"NCT00095706","NCT00093535"
"NCT00095875","NCT00705068"
"NCT00095914","NCT00092261"
"NCT00096005","NCT01646905"
"NCT00096005","NCT01664325"
"NCT00096083","NCT00091455"
"NCT00096382","NCT00092248"
"NCT00096551","NCT00098449"
"NCT00096590","NCT00464360"
"NCT00096967","NCT00066560"
"NCT00097058","NCT00238589"
"NCT00097539","NCT00231361"
"NCT00097539","NCT00672126"
"NCT00097929","NCT00124631"
"NCT00097955","NCT00219206"
"NCT00098254","NCT00100763"
"NCT00098423","NCT01646931"
"NCT00098423","NCT01664338"
"NCT00098579","NCT01645488"
"NCT00099112","NCT00077740"
"NCT00099255","NCT00118079"
"NCT00099502","NCT00185432"
"NCT00100321","NCT00104832"
"NCT00100386","NCT00342745"
"NCT00100568","NCT00738465"
"NCT00100685","NCT00103077"
"NCT00100880","NCT00106990"
"NCT00101010","NCT00290446"
"NCT00101582","NCT00963456"
"NCT00101595","NCT00110097"
"NCT00101608","NCT00268424"
"NCT00101647","NCT00108693"
"NCT00101660","NCT00112801"
"NCT00101816","NCT00108719"
"NCT00101894","NCT00107328"
"NCT00101920","NCT00079209"
"NCT00101998","NCT00903513"
"NCT00102544","NCT00671840"
"NCT00102596","NCT01195909"
"NCT00102622","NCT02157870"
"NCT00102635","NCT00103090"
"NCT00103038","NCT00980720"
"NCT00103194","NCT02154373"
"NCT00103259","NCT00695721"
"NCT00103298","NCT00096889"
"NCT00103350","NCT00104208"
"NCT00103610","NCT00248508"
"NCT00103662","NCT00248417"
"NCT00103740","NCT00051649"
"NCT00104065","NCT00124592"
"NCT00104650","NCT00121342"
"NCT00104767","NCT00744783"
"NCT00104962","NCT00269711"
"NCT00105144","NCT00235742"
"NCT00105950","NCT00214409"
"NCT00105950","NCT00278317"
"NCT00106184","NCT00393237"
"NCT00106418","NCT00058643"
"NCT00106431","NCT00337025"
"NCT00106613","NCT00058630"
"NCT00106613","NCT00060216"
"NCT00107003","NCT00103129"
"NCT00108056","NCT00112788"
"NCT00108069","NCT00112762"
"NCT00108342","NCT00876239"
"NCT00108355","NCT00530959"
"NCT00108550","NCT01828450"
"NCT00109005","NCT00112606"
"NCT00109031","NCT00126529"
"NCT00109031","NCT00965692"
"NCT00109070","NCT00012233"
"NCT00109226","NCT00012272"
"NCT00109239","NCT00012285"
"NCT00109265","NCT00024219"
"NCT00110266","NCT00343837"
"NCT00110305","NCT00980837"
"NCT00110812","NCT00106730"
"NCT00110877","NCT00980902"
"NCT00111007","NCT00262912"
"NCT00111319","NCT00109902"
"NCT00111345","NCT00478153"
"NCT00111618","NCT00119275"
"NCT00111761","NCT00047151"
"NCT00111969","NCT00386295"
"NCT00112307","NCT00165113"
"NCT00112385","NCT00282880"
"NCT00112463","NCT01645683"
"NCT00112580","NCT00108888"
"NCT00112593","NCT00010348"
"NCT00112684","NCT01645540"
"NCT00112736","NCT00267878"
"NCT00112996","NCT00705029"
"NCT00113893","NCT00744432"
"NCT00113984","NCT00124670"
"NCT00114530","NCT00472277"
"NCT00114530","NCT00545038"
"NCT00114530","NCT00848614"
"NCT00114530","NCT00871221"
"NCT00114530","NCT00872508"
"NCT00114738","NCT00131976"
"NCT00115128","NCT00108966"
"NCT00115193","NCT00066833"
"NCT00115687","NCT00064948"
"NCT00116272","NCT01017016"
"NCT00116376","NCT00085215"
"NCT00116844","NCT00268190"
"NCT00116961","NCT00670072"
"NCT00117013","NCT00182676"
